127.0.0.1 - - [17/Jun/2017:12:50:51 -0500] "GET / HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:50:52 -0500] "GET /edu/ HTTP/1.1" 200 7020
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:50:53 -0500] "GET /favicon.ico HTTP/1.1" 404 1012
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:51:06 -0500] "POST /edu/VerificarAcceso HTTP/1.1" 200 6614
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:51:06 -0500] "GET /edu/resources/assets/css/style.css;jsessionid=3F2A98223C78BB5FA172DC21E504CA08 HTTP/1.1" 200 5811
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:51:06 -0500] "GET /edu/resources/assets/plugins/bootstrap/bootstrap.css;jsessionid=3F2A98223C78BB5FA172DC21E504CA08 HTTP/1.1" 200 121220
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:51:06 -0500] "GET /edu/resources/assets/css/main-style.css;jsessionid=3F2A98223C78BB5FA172DC21E504CA08 HTTP/1.1" 200 2760
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:51:06 -0500] "GET /edu/resources/assets/plugins/pace/pace-theme-big-counter.css;jsessionid=3F2A98223C78BB5FA172DC21E504CA08 HTTP/1.1" 200 831
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:51:06 -0500] "GET /edu/resources/assets/font-awesome/css/font-awesome.css;jsessionid=3F2A98223C78BB5FA172DC21E504CA08 HTTP/1.1" 200 21658
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:51:06 -0500] "GET /edu/resources/assets/plugins/metisMenu/jquery.metisMenu.js;jsessionid=3F2A98223C78BB5FA172DC21E504CA08 HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:51:06 -0500] "GET /edu/resources/assets/plugins/jquery-1.10.2.js;jsessionid=3F2A98223C78BB5FA172DC21E504CA08 HTTP/1.1" 200 112208
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:51:06 -0500] "GET /edu/resources/assets/img/logo.png;jsessionid=3F2A98223C78BB5FA172DC21E504CA08 HTTP/1.1" 200 46957
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:51:06 -0500] "GET /edu/resources/assets/plugins/pace/pace.js;jsessionid=3F2A98223C78BB5FA172DC21E504CA08 HTTP/1.1" 200 25115
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:51:06 -0500] "GET /edu/resources/assets/img/user.jpg;jsessionid=3F2A98223C78BB5FA172DC21E504CA08 HTTP/1.1" 200 1341
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:51:06 -0500] "GET /edu/resources/assets/scripts/siminta.js;jsessionid=3F2A98223C78BB5FA172DC21E504CA08 HTTP/1.1" 200 1424
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:51:07 -0500] "GET /edu/resources/assets/plugins/bootstrap/bootstrap.min.js;jsessionid=3F2A98223C78BB5FA172DC21E504CA08 HTTP/1.1" 200 29097
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:51:07 -0500] "GET /edu/resources/assets/font-awesome/fonts/fontawesome-webfont.woff?v=4.0.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:51:07 -0500] "GET /edu/20 HTTP/1.1" 404 978
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:51:07 -0500] "GET /edu/500 HTTP/1.1" 404 978
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:51:07 -0500] "GET /edu/100 HTTP/1.1" 404 978
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:51:07 -0500] "GET /edu/2000 HTTP/1.1" 404 978
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:51:07 -0500] "GET /edu/3000 HTTP/1.1" 404 978
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:51:11 -0500] "GET /edu/3100 HTTP/1.1" 404 978
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:51:22 -0500] "GET /edu/Empleados/Listar.jsp HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:51:33 -0500] "GET /edu/3100 HTTP/1.1" 404 978
